,school_id,long_name,school_type,beginning_year,student_growth_rating,student_attainment_rating,culture_climate_rating,school_survey_student_response_rate_pct,school_survey_teacher_response_rate_pct,creative_school_certification,school_survey_involved_families,school_survey_supportive_environment,school_survey_ambitious_instruction,school_survey_effective_leaders,school_survey_collaborative_teachers,school_survey_safety,suspensions_per_100_students_year_2_pct,misconducts_to_suspensions_year_2_pct,average_length_suspension_year_2_pct,school_survey_school_community,school_survey_parent_teacher_partnership,school_survey_quality_of_facilities,student_attendance_year_2_pct,teacher_attendance_year_2_pct,one_year_dropout_rate_year_2_pct,freshmen_on_track_school_pct_year_2,graduation_4_year_school_pct_year_2,graduation_5_year_school_pct_year_2,sat_grade_11_score_school,growth_act_sat_grade_11_pct,attainment_act_sat_grade_11_pct,college_enrollment_school_pct_year_2,college_persistence_school_pct_year_2,mobility_rate_pct,chronic_truancy_pct,dress_code,school_hours,after_school_hours,classroom_languages,bilingual_services,refugee_services,hard_of_hearing,visual_impairments,transportation_bus,transportation_el,transportation_metra,overall_rating,rating_status,network,is_gocps_participant,student_count_total,student_pct_low_income,student_pct_special_ed,student_pct_english_learners,student_pct_black,student_pct_hispanic,student_pct_white,student_pct_asian,student_pct_native_american,student_pct_other_ethnicity,student_pct_asian_pacific_islander,student_pct_multi,student_pct_hawaiian_pacific_islander,student_pct_ethnicity_not_available
213,609746,Kenwood Academy High School,Neighborhood,2021,NO DATA AVAILABLE,NO DATA AVAILABLE,WELL ORGANIZED,61.1,65.9,,VERY STRONG,VERY STRONG,STRONG,STRONG,VERY STRONG,NOT ENOUGH DATA,0.0,1.1,1.7,,,,89.6,85.4,3.2,92.5,91.9,96.9,995.0,,42.5,67.0,75.5,3.7,31.2,False,9:00  AM - 4:15  PM,4:15 PM - 6:45 PM,"Chinese, French, Latin, Spanish",True,False,False,False,"2, 6, 15, 28, X28",Blue,Metra Electric District (ME),Level 1+,GOOD STANDING,Network 17,True,2323,0.566508824795523,0.05337925096857512,0.013775290572535515,0.8553594489883771,0.04476969436074042,0.04649160568230736,0.015066724063710719,0.0012914334911752045,0.0,0.0,0.019801980198019802,0.0017219113215669393,0.015497201894102454
214,609713,Hyde Park Academy High School,Neighborhood,2021,NO DATA AVAILABLE,NO DATA AVAILABLE,ORGANIZED,46.3,59.7,,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,STRONG,NEUTRAL,NOT ENOUGH DATA,0.0,1.1,1.7,,,,76.1,77.9,2.2,93.0,77.6,75.0,792.0,,1.8,52.4,56.1,6.6,62.3,True,9:00  AM - 4:15  PM,4:12 PM - 7:00 PM,"French, Spanish",False,False,False,False,"6, 15, 28, 59, 63, X28, 170","Green, Red",Metra Electric District (ME),Level 2,PROVISIONAL SUPPORT,Network 17,True,721,0.9098474341192788,0.18169209431345354,0.011095700416088766,0.9833564493758669,0.006934812760055479,0.0,0.0,0.0,0.0,0.0,0.008321775312066574,0.0,0.0013869625520110957
215,610380,Daniel Hale Williams Prep School of Medicine,Small,2021,NO DATA AVAILABLE,NO DATA AVAILABLE,WELL ORGANIZED,91.5,93.8,,STRONG,STRONG,STRONG,STRONG,STRONG,NOT ENOUGH DATA,0.0,1.1,1.7,,,,79.0,89.1,4.8,76.2,70.6,89.8,816.0,,0.0,75.0,51.4,1.4,60.2,True,8:05 am-3:20 pm,3:30 pm - 7:00 pm,"Latin, Spanish",True,False,False,False,"1, 15, 29","Green, Red",None,Level 2,PROVISIONAL SUPPORT,Network 17,True,72,0.9166666666666666,0.18055555555555555,0.013888888888888888,0.9722222222222222,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0
216,609722,Manley Career Academy High School,Neighborhood,2021,NO DATA AVAILABLE,NO DATA AVAILABLE,WELL ORGANIZED,62.7,94.4,,VERY STRONG,STRONG,STRONG,STRONG,STRONG,NOT ENOUGH DATA,0.0,1.1,1.7,,,,57.8,87.7,8.9,60.9,50.0,53.6,0.0,,0.0,23.5,,34.1,73.0,True,8:00  AM - 3:15  PM,None,Spanish,False,False,False,False,"7, 12, 94",Blue,None,Level 2,INTENSIVE SUPPORT,Network 15,True,68,0.7794117647058824,0.45588235294117646,0.014705882352941176,0.9117647058823529,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,400064,Perspectives - Rodney D. Joslin,Charter,2021,NO DATA AVAILABLE,NO DATA AVAILABLE,MODERATELY ORGANIZED,75.1,75.0,,NEUTRAL,STRONG,STRONG,WEAK,WEAK,NOT ENOUGH DATA,0.0,1.1,1.7,,,,79.1,,2.8,69.2,92.1,82.5,793.0,,0.0,56.6,80.0,4.1,66.4,True,8:00 AM - 3:20 PM,3:30 PM - 5:00 PM,Spanish,True,False,False,False,"21, 24, 29, 62","Green, Red",None,Level 2+,NOT APPLICABLE,Charter,True,379,0.8284960422163589,0.22163588390501318,0.010554089709762533,0.9472295514511874,0.026385224274406333,0.005277044854881266,0.010554089709762533,0.002638522427440633,0.0,0.0,0.005277044854881266,0.0,0.002638522427440633
218,400104,Instituto Health Sciences Career Academy,Charter,2021,NO DATA AVAILABLE,NO DATA AVAILABLE,PARTIALLY ORGANIZED,75.3,70.4,,NEUTRAL,STRONG,NEUTRAL,WEAK,WEAK,NOT ENOUGH DATA,0.0,1.1,1.7,,,,97.0,,2.2,73.8,82.4,88.6,806.0,,2.9,29.3,67.5,2.5,2.8,True,8:30AM -2:27PM,2:30 PM - 3:45 PM,Spanish,True,False,False,False,"49, 60","Blue, Orange, Pink",BNSF Railway (BNSF),Level 2,NOT APPLICABLE,Charter,True,627,0.8548644338118022,0.20095693779904306,0.48484848484848486,0.03668261562998405,0.9505582137161085,0.007974481658692184,0.0,0.003189792663476874,0.0,0.0,0.0,0.001594896331738437,0.0
219,610357,Spry Community Links High School,Neighborhood,2021,NO DATA AVAILABLE,NO DATA AVAILABLE,MODERATELY ORGANIZED,49.5,84.2,,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,STRONG,NOT ENOUGH DATA,0.0,1.1,1.7,,,,59.5,81.7,9.6,70.0,52.9,81.8,812.0,,0.0,66.7,57.9,5.6,75.0,True,8:45 am-4:00 pm,None,Spanish,True,False,False,False,"21, 94",None,None,Level 2,PROVISIONAL SUPPORT,Network 16,True,73,0.9041095890410958,0.273972602739726,0.5068493150684932,0.0,0.9863013698630136,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0
220,609730,Nicholas Senn High School,Neighborhood,2021,NO DATA AVAILABLE,NO DATA AVAILABLE,PARTIALLY ORGANIZED,7.2,53.9,,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,NEUTRAL,NOT ENOUGH DATA,0.0,1.1,1.7,,,,87.9,88.8,4.4,90.2,85.1,83.1,940.0,,29.4,69.2,76.8,6.8,33.6,False,8:00 AM-3:15 PM M- Th/8:00 AM - 2:20 PM F,3:15 - 5:30 PM,"Arabic, French, Spanish, Spanish for Heritage Speakers",True,False,False,False,"22, 36, 84",Red,None,Level 1,GOOD STANDING,Network 14,True,1529,0.7292347939829954,0.1340745585349902,0.1962066710268149,0.2570307390451275,0.40418574231523874,0.17527795945062133,0.12688031393067364,0.007194244604316547,0.0,0.0,0.02485284499672989,0.0013080444735120995,0.0032701111837802484
221,609725,Morgan Park High School,Neighborhood,2021,NO DATA AVAILABLE,NO DATA AVAILABLE,ORGANIZED,64.7,80.3,,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,0.0,1.1,1.7,,,,81.2,80.3,12.1,89.2,79.4,87.9,822.0,,5.5,59.8,67.2,5.2,51.8,False,7:30 AM - 2:45 PM,None,"French, Spanish",False,False,False,False,"111, 112",Red,Rock Island District (RI),Level 2+,GOOD STANDING,Network 16,True,1109,0.7475202885482417,0.15419296663660956,0.009017132551848512,0.9522091974752029,0.023444544634806132,0.009918845807033363,0.0009017132551848512,0.0009017132551848512,0.0,0.0,0.0018034265103697023,0.0018034265103697023,0.009017132551848512
222,609740,Wells Community Academy High School,Neighborhood,2021,NO DATA AVAILABLE,NO DATA AVAILABLE,WELL ORGANIZED,59.3,63.2,,STRONG,STRONG,NEUTRAL,NEUTRAL,STRONG,NOT ENOUGH DATA,0.0,1.1,1.7,,,,80.1,84.8,7.1,79.2,71.8,77.1,791.0,,0.0,47.0,55.9,8.6,54.1,False,9:00  AM - 4:15  PM,4:15 PM - 6:30 PM,Spanish,True,False,False,False,"9, 56, 66","Blue, Green",None,Level 2,PROVISIONAL SUPPORT,Network 15,True,312,0.6955128205128205,0.2532051282051282,0.2403846153846154,0.47115384615384615,0.36217948717948717,0.14423076923076922,0.003205128205128205,0.0,0.0,0.0,0.019230769230769232,0.0,0.0
